ESNTL_ID,WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
KCCWSPO20N000000084,고덕산 산책길,고덕산 산책길,명일역3번출구~고덕산 정상,서울 강동구,보통,1~5Km미만,1.9,"해발 100m 미만의 낮고 순탄한 숲길이지만 계절 따라 순환하는 자연의 섭리를 그대로 느낄 수 있다. 고덕산은 완만한 구릉지 형태의 야산이다. 해발 50m 안팎이 대부분이고 높아야 100m를 넘지 않는다. 고덕산은 높지 않고 가볍게 오를 수 있어 산책하기 좋다. 특히, 고덕산은 북으로는 한강을 끼고 있어 탁트인 시야를 자랑한다.",1시간 30분,없음,명일역,명일역,서울 강동구 암사동,37.5611617,127.1464937
KCCWSPO20N000000085,일자산숲나들길,일자산숲 나들길,길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴,서울 강동구,보통,1~5Km미만,1.9,"노선의 대부분은 차지하는 일자산은 이름 그대로 능선이 군더더기 없이 일(一)자로 뻗은 산이다. 때문에 중간 중간 갈림길이 많아도 큰 길을 따라 곧장 질러가면 3㎞에 달하는 울창한 숲길을 고스란히 두 발에 담아낼 수 있다. 특히 아름드리나무들이 많아 마치 큰 산에 들어선 듯한 청량감이 일품이다. 강동구가 야심차게 추진하고 있는 강동그린웨이를 중심으로 둔촌동 생태경관보전지역, 허브천문공원 및 길동생태공원 등 강동의 주요 명소를 연결한 코스이다. 야트막한 능선으로 뻗은 일자산 숲길을 따라 자연의 향기를 만끽할 수 있으며, 길동생태공원(사전예약 필수)은 우리나라의 대표적인 생태공원으로 계절별로 다양한 체험 프로그램이 마련되어 있다.",1시간 30분,,,,서울 강동구 둔촌동,37.534967,127.1528418
KCCWSPO20N000000086,몽촌토성나들길,몽촌토성 나들길,몽촌토성~한성백제박물관~몽촌토성길~88호수,서울 강동구,쉬움,5~10Km미만,6.14,"도시공원의 의미는 자연휴식공간이라는 데 있다. 아울러 산책로를 만들어 도시민들이 걷고 뛰며 운동할 수 있도록 하는 목적도 지녔다. 강남권 도심, 잠실 주변엔 거대한 녹지공원인 올림픽공원이 있다. 특히 석촌호수에서 가까운 올림픽공원 산책로는 백제 때 축조된 몽촌토성까지 품고 있으며 2012년에는 몽촌토성에서 찾을 수 있는 백제의 역사를 알려주는 한성백제 박물관도 개관하여 더욱 볼거리가 풍부해졌다. (‘Free course' 로 자유롭게 다닐 수 있도록 조성)",2시간,올림픽공원 내 분포,올림픽공원 내 분포,올림픽공원 내 분포,서울 송파구 방이동,37.5156355,127.1214926
KCCWSPO20N000000087,석촌호수산책길,석촌호수 산책길,석촌호수길~석촌동백제초기적성총~방이동백제고분군,서울 송파구,쉬움,1~5Km미만,4.17,"석촌호수는 자연과 인간이 힘을 합해 만든 인공호수이다. 원래는 한강의 일부분이었으나, 세월이 흐르면서 샛강이 생겼고 그 후 한강 본류 정비 사업으로 샛강이 매립되면서 인공호수가 생겨나게 되었다. 송파대로 개통으로 둘로 나눠진 이 쌍둥이 호수를 자연친화적 환경으로 정비한 것이 오늘의 석촌호수다. 호수와 인접하여 유명 놀이공원이 만들어져 있어 여러모로 볼거리와 즐길거리가 많다.",2시간,사전 준비 필요,동호와 서호에 각각 화장실 있음,길 외곽에 다수,서울 송파구 송파동,37.5095353,127.1050057
KCCWSPO20N000000089,송파소리길,역사탐방길,풍납토성근린공원 ~ 풍납토성 ~ 몽촌토성 ~ 방이동백제고분군 ~ 석촌동백제초기적석총 ~ 석촌호수,서울 송파구,쉬움,10~15Km미만,11.45,송파소리길은 송파 한 바퀴를 도는 일주코스 외에도 한성백제의 중심지이었던 풍납토성과 몽촌토성을 잇고 석촌호수를 순환하는 역사탐방길이 있다. 역사탐방길은 한성백제가 약500년 동안 도성으로 있던 풍남토성을 시작으로 다양한 송파시민에게 가장 사랑받는 올림픽 공원을 지나 방이동백제고분군과 석촌동백제초기적석총 등 한성백제의 유적지를 차례로 지난다. 마지막으로 4월에는 화려한 벚꽃 흐드러지는 석촌호수에서 마무리하는 길이다.,3시간,올림픽공원,"풍납종합사회복지관, 올림픽공원 곳곳, 석촌호수, 송파역",코스 곳곳에 위치,서울 송파구 장지동,37.4759619,127.1253897
KCCWSPO20N000000091,구룡산 나들길,구룡산 나들길,달터근린공원~구룡산길 시작~개암약수터,서울 강남구,보통,5~10Km미만,6.02,구룡산은 옛날 임신한 여인이 용 열 마리가 승천하는 것을 보고 놀라 소리치는 바람에 한 마리가 떨어져 죽고 아홉 마리만 하늘로 올라갔다 하여 붙여졌다. 코스 대부분이 숲길로 이루어져 햇빛이 비추는 여름에도 시원한 그늘 밑을 걸을 수 있으며 높거나 산길이 험하지 않아 부담 없이 산행을 즐길 수 있다. 다만 구룡산 진입로부터 개암약수터까지는 약간의 오르막이 20분 정도 진행되나 나무계단 등의 편의시설이 있어 노약자도 쉬엄쉬엄 올라가면 진행에 큰 무리는 없다.,2시간30분,개암약수터,"매봉역, 개포4동 주민센터, 강남구민체육관","매봉역, 달터공원 주변",서울 서초구 염곡동,37.4660639,127.0491853
KCCWSPO20N000000092,대모산 나들길,대모산 나들길,실로암 약수터~대모산 초소위~독도모형~대모산 정상,서울 강남구,보통,5~10Km미만,4.8,"코스 대부분이 숲길이며, 대모산은 해발 293m의 야트막한 산으로 서쪽의 구룡산과 능선을 나란히 하고 있어 연결하여 많은 사람들이 걷는다. 예전에는 국수봉이라고 불렸던 산으로 인근에 아파트단지들이 많이 들어서 주민들의 휴식공간으로 이용되고 있다. 아침 운동이나 가벼운 산책을 즐기려는 주민들이 많이 찾는다. 동쪽 끝은 수서역 4번 출구와 맞닿아 있다. 대모산도시자연공원부터 불국사까지는 넓고 완만한 경사로가 이어져 어린자녀와 함께 산책하며 걷기에 그만이다. 불국사부터는 서울둘레길과 함께 한다. 서울둘레길은 구룡산으로 이어지는데 대모산 나들길은 대모산 정상으로 발걸음을 옮긴다.",3시간,대모산도시자연공원(코스 중간에 약수터가 있으나 갈수기에는 식음불가가 많다),"일원역, 대모산도시자연공원, 불국사",일원역 일대,서울 강남구 개포동,37.477148,127.073712
KCCWSPO20N000000093,선정릉 나들길,선정릉 나들길,선정릉~봉은사,서울 강남구,보통,5~10Km미만,5.9,"2009년 6월에 유네스코 세계문화유산으로 등재된 조선 왕릉의 하나인 선정릉을 거쳐 전통사찰인 봉은사를 지나는 코스이다. 조선 제 9대 왕인 성종과 계비 정현왕후의 능인 선릉과 함께 조선 11대 왕인 중종의 능이 모셔진 곳으로 이 두 능침 사이로 나 있는 야트막한 언덕으로 걷기 좋은 산책로가 세 가닥이나 뻗었다. 봉은사 역시 볼만한 전각들이 많으며, 특히 미륵대불은 언제나 소원을 빌러 오는 신자들로 붐빈다.",2시간,없음,"선정릉, 봉은사, 삼성역",선정릉과 봉은사 가는 길에 다수 분포,서울 강남구 삼성동,37.5071339,127.0526324
KCCWSPO20N000000094,서리골 서리풀 나들길,서리골 서리풀 나들길,서리골공원~몽마르뜨공원~서리풀공원,서울 서초구,보통,1~5Km미만,3.25,"고층아파트가 스카이라인을 이룬 이곳에 어찌 이리 아름다운 숲길을 허락했을까. 걷는 이들마다 의아해하고, 신기해하고, 끝내는 감사해하는 숲길이다. 이 숲길을 품은 산줄기는 원래 하나였으나 차도가 금을 그으며 생이별을 하고 말았다. 얼마 전까지도 찻길을 건너야만 숲길을 이어갈 수 있었으나 2009년 말 서리골공원과 몽마르뜨공원이 누에다리로 이어지고, 그와 동시에 몽마르뜨공원이 서리풀공원과 서리풀다리로 이어지며 다시 하나의 식구가 됐다.",2시간,사전에 준비 필요,몽마르뜨 공원,공원 입구에 위치,서울 서초구 반포동,37.4928485,127.0016464
KCCWSPO20N000000096,동작충효길,01코스 고구동산길,배수지공원~노들역~고구동산~중앙대 후문~서달산 잣나무길~자연학습장~서달산 생태다리~동작대 전망대~현충원 상도출입문,서울 동작구,쉬움,1~5Km미만,3.2,"쾌적하게 정비된 배수지공원은 지하철 9호선 노들역과 연결되어 있어 만남의 장소로 일익을 담당한다. 배수지공원에서 출발해 고구동산 정상, 서달산 잣나물길과 서달산 생태다리, 상도출입문까지 이어지는 1코스 고구동산길을 걷노라면 벚나무와 잣나무 등 숨쉬기만해도 즐거워지는 동작의 자연을 감상할 수 있다. 걷기여행객이라면 동작충효길의 각코스는 조금 짧게 느껴질 것이다. 1코스는 2코스와 연계하여 걷는 것이 더욱 좋다. 여행을 2코스를 이어서 여행하면 대중교통 이용도 편리하다.",1시간,달마약수터,"9호선 노들역사내, 고구동산 트랙옆, 달마사앞, 서달산 생태다리 주변",중앙대후문 부근 편의점 위치함,서울 동작구 사당동,37.4945288,126.9744481
KCCWSPO20N000000103,보라매공원 산책길,보라매공원 산책길,보라매공원 호수~인공암벽등반장~보라매공원 후문,서울 동작구,매우쉬움,1~5Km미만,1.63,"보라매공원은 서울특별시 동작구 신대방동 395번지 대방로 219 일대인 옛날 공군사관학교 자리를 1985년 12월 20일에 보수하여 1986년 5월 5일 개원하였다. 공군사관학교 때의 상징인 ""보라매""를 그대로 이름에 사용하여 오늘에 이르고 있으며, 공원을 산책하는 코스이다.",30분,사전 준비 하거나 매점에서 구임,곳곳에 다수,공원 남쪽 편의점,서울 동작구 신대방동,37.4906732,126.9196937
KCCWSPO20N000000104,현충원 나들길,현충원 나들길,현충원 입구~정국교~박정희대통령묘소입구~호국지장사~육탄10용사 현충비~ 현충원입구,서울 동작구,보통,5~10Km미만,7.34,군인·군무원으로서 사망한 사람과 국가에 공이 있는 사람의 유골 또는 시신을 안장한 국립현충원을 도는 산책로이다. 200m 정도 되는 이 나무계단만 올라가면 국립현충원 외곽을 따라 도는 산책로가 편안한 길을 펼쳐낸다.,4시간 30분,사전 준비 필요,현충원 영내 다수,현충원 입구,서울 동작구 사당동,37.4937197,126.9670077
KCCWSPO20N000000105,관악산 계곡나들길,관악산 계곡 나들길,관악산 입구~관악산 호수공원~장미원~삼거리약수터~장미원~호수공원~관악산 입구,서울 관악구,쉬움,5~10Km미만,5.58,"관악산 계곡길은 사시사철 언제라도 시원한 물줄기를 따라 길을 잇는다. 관악산 등산로는 본래 어려움이 많은 길이지만 이곳에 소개하는 길은 가파른 경사로가 시작되기 직전인 무너미고개 앞 삼거리약수터에서 다시 돌아오도록 되어 있어 남녀노소 누구라도 편안한 걷기를 즐길 수 있다. 관악산 계곡 나들길은 외사산의 남쪽에 솟은 관악산과 삼성산이 엇물리는 골짜기 사이로 흐르는 계곡을 따르는 길이다. 수많은 등산객과 유산객들이 매일 찾는 곳답게 노약자도 쉽게 걸을 수 있게 노면 정비가 잘 되어 있다. 여름철에는 계곡 하류에 천연 물놀이장을 만들어서 일반에 무료 개방할 만큼 수질도 상당히 좋은 편이다. 올해 극심한 가뭄으로 계곡에 물이 많지 않고, 수질도 평년에 미치지 못하지만 큰 비 한번이면 다시 예전의 명성을 되찾을 것으로 보인다.",2시간,시작점 부근 약수터,코스 입구,시작점 부근 광장,서울 관악구 신림동,37.4423838,126.9474537
KCCWSPO20N000000107,관악산 나들길,관악산 나들길,샘말공원~맨발공원~약수암~신우초등학교,서울 관악구,보통,5~10Km미만,5.72,예전부터 고시원이 밀집된 대학동 일대를 걸을 수 있도록 기 조성된 공원들을 연결하여 고시생들과 주민들이 편하게 이용할 수 있도록 개발된 코스이다.,3시간,사전준비 필요,,없음,서울 관악구 신림동 210,37.468523,126.9452152
KCCWSPO20N000000108,관음사 산책길,관음사 산책길,관음사~상록약수터,서울 관악구,쉬움,1Km미만,0.81,오래된 나무와 온갖 풀이 바위와 어우러져 철따라 변하는 모습이 마치 금강산과 같다 하여 소금강 또는 서금강 이라고 한다.,40분,사전 준비 필요(상록약수터),관음사 밑,관음사 올라오는 길 입구에서 준비 필요(사당역 일대),서울 관악구 남현동,37.4682599,126.9791551
KCCWSPO20N000000109,낙성대 산책길,낙성대 산책길,안국사~낙성대공원,서울 관악구,보통,1~5Km미만,1.22,"낙성대 공원을 지나 관악산 능선과 이어져있고, 강감찬장군 동상, 안국사 등 볼거리가 풍부하다. 코스는 짧은 코스로 가볍에 산책을 즐기며 걷기에 좋은 코스로 쉬엄쉬엄 걷기를 권하는 산책길이다. 낙성대공원이라는 이름이 만들어진데 빼놓을 수 없는 것은 낙성대이다. 서울특별시 유형문화재 제4호로 지정된 낙성대는 고려의 명장 강감찬의 사당으로 강감찬의 출생지로서, 그가 출생할 때 별이 떨어졌다고 하여 낙성대라는 이름으로 전하여오고 있다.",40분,사전준비하거나 매점에서 구입,낙성대 화장실,낙성대 매점,서울 관악구 봉천동,37.4719465,126.9630878
KCCWSPO20N000000110,독산 삼성산 나들길,독산 삼성산 나들길,감로천생태공원~금천전망대~산림감시초소~호압사입구 사거리,서울 금천구,보통,5~10Km미만,6.46,"노후시설을 정비하여 누구나 안전하고 편안하게 걸을 수 있도록 조성되어 있다. 특히 만수천 생태연못과 감로천 생태공원, 야생초화원 등으로 구성되어 다양한 식생과 많은 볼거리를 가지고 있다.",3시간,사전에 준비,관악산생태공원,(코스 인근)금천구립정보도서관 주변,서울특별시 금천구 독산동 373,37.4696857,126.908195
KCCWSPO20N000000111,청룡산 나들길,청룡산 나들길,서울대 입구역~ 청룡 초등학교 ~청룡산 공원~누수식 생태연못~청룡산 산림욕장~ 서울대 입구역,서울 관악구,쉬움,5~10Km미만,5.87,청룡산은 서울대입구역과 서울대정문 사이에 위치한 조그마한 산으로 주택과 인접하고 있어 간단히 산책을 즐길 수 있는 곳으로 계곡물을 이용 많은 습지가 조성되어 있다.,1시간 50분,관악구청 식수대,관악구청,청룡 초교 인근,서울 관악구 봉천동,37.4652947,126.9562546
KCCWSPO20N000000112,호암산 나들길,호암산 나들길,시흥계곡 입구~산복약수터연못~생태통로~호암폭포~호압사,서울 금천구,어려움,1~5Km미만,4,"호압사에서 산기슭공원에 이르는 생태 탐방로로서 식생이 다양하다. 자연형 돌계단 등을 조성해 산책로를 정비하여 지역주민의 휴식공간으로 각광 받고 있다. 호암산은 해발 393m로 관악산에서 이어진 삼성산의 지맥으로 금천구의 진산이며 관악산 전체의 서쪽에 위치하고 산세가 북쪽(한양)을 바라보는 호랑이 형상을 닮았다 하여 붙여진 이름이라고 한다. 호암산에는 호암산성과 한우물, 석구상, 호압사, 불영사 등 많은 사적과 유서깊은 사찰이 있으며, 등산로가 가파르지 않고 도심에서 쉽게 접근할 수 있어 금천구, 광명시, 안양시민들의 산행으로 많이 찾는 곳이다. 호암산 정상에서 바라보는 서울시내 풍광과 서남쪽의 전경은 그지없이 아름다워 발길을 멈추게 한다.",3시간,사전 준비 필요,호암사 부근,코스 내 없음,경기 안양시 만안구 석수동,37.4439091,126.9226186
KCCWSPO20N000000113,여의도공원 산책길,여의도공원 산책길,여의도공원 역~ 여의도공원 광장 여의도샛강생태공원,서울 영등포구,매우쉬움,1~5Km미만,2.82,"친수공간으로 연출된 생태공원과 옛 여의도광장과 여의도공원은 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨 찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간입니다. (`Free course` 로 자유롭게 다닐 수 있도록 조성)",1시간 30분,사전 준비 필요,있음.,있음,서울 영등포구 여의도동,37.5261923,126.9219137
KCCWSPO20N000000114,영등포봄꽃 나들길,영등포 봄꽃 나들길,신갈공원~신길동 넝쿨장미길,서울 영등포구,매우쉬움,1~5Km미만,3.84,"신풍역 주변 신길6동 벚꽃길에서 시작하는 이 길은 주민들이 직접 헌수하여 조성한 왕벚나무, 넝쿨장미길을 지나 대방천 수림대(가로녹지)로 연결되는 도심 내 건강 산책길이다. 신길6동 벚꽃길과 신길동 넝쿨장미길을 지나 꽃섬길 마을마당(신길광장공원), 대방천 가로녹지대, 도림천으로 연결되는 코스는 지역축제 개최 및 다양한 경관이 펼쳐지며, 휴게시설 및 야외 체육시설이 설치되어 있어 휴식과 운동을 병행하는 재미를 안긴다.",1시간 30분,,,,서울 영등포구 신길동,37.5042413,126.8994712
KCCWSPO20N000000115,개웅산 숲산책길,개웅산 숲산책길,배드민턴장~야생화단지~숲속길,서울 구로구,보통,1~5Km미만,1.5,"개웅산은 능선이 세 방향으로 뻗어 내려 삼각형 모양을 이루고 있는 산으로서 산 전체가 단풍나무, 아까시나무, 소나무, 참나무 등 다양한 식생이 잘 보존된 전형적인 자연상태의 공원이다, 연간 10만여 명의 시민들이 이용하고 있으며, 등산로 주변에 약수터와 의자 등 휴게시설이 설치되어 시민들로부터 좋은 반응을 얻고 있다.",1시간,사전 준비하거나 매점에서 구입,,코스 내 없음,서울 구로구 개봉동,37.4859831,126.8457837
KCCWSPO20N000000116,구로 지양산 숲나들길,구로 지양산 숲나들길,지양산 숲길~차돌바위~궁동터널 위 지양산 숲길 시작,서울 구로구,보통,5~10Km미만,6.84,위성사진을 통해 본 지양산 일대는 서울 남서쪽에 동동 떠 있는 커다란 섬이다. 삭막한 도시 속의 오아시스 같은 지양산은 낮고도 넓게 뻗어 수많은 오솔길을 품었다. 많은 산보객들이 발끝으로 반질반질하게 닦아 놓은 청정 숲길은 인근의 매봉산과 원미산으로까지 영토를 넓혔다. 그래서 그 깊은 속살을 다 들여다보려면 몇날 며칠이 필요할 지 가늠하기 어렵다.,3시간,사전 준비하거나 매점에서 사전 구입,"서서울호수공원, 온수역",코스 내 없음,경기 부천시 작동,37.5144533,126.8240666
KCCWSPO20N000000117,서서울호수공원 산책길,서서울호수공원 산책길,서서울호수공원,서울 양천구,매우쉬움,1Km미만,0.96,옛 신월정수장 자리에 꾸며진 서서울공원은 비행기가 지날 때마다 소음을 감지하여 물이 솟구치는 소리분수와 화가 몬드리안의 구성기법을 도입한 몬드리안 정원이 있다.,30분,사전 준비 필요,있음,,서울 양천구 신월동,37.5269754,126.8301688
KCCWSPO20N000000118,용왕산 나들길,용왕산 나들길,용왕산 진입로~용왕정~달거리약수터,서울 양천구,쉬움,1~5Km미만,2.63,"1971년 8월 건설부고시에 의하여 목동 제1공원으로 지정되었다. 이후 1989년에 도시근린공원으로 개발되었다. 야산에 위치하여 시민들의 휴식공간으로 활용된다. 3코스의 산책로가 조성되어 있으며, 공원 내에는 1997년 5월 완공한 목동종합사회복지관이 들어서 있다. 연간 12만 명이 찾는다.",1시간30분,,,,서울 양천구 목동,37.5426479,126.8754084
KCCWSPO20N000000119,강서문화 산책길,강서 문화 산책길,양천향교~겸재정선기념관~구암공원~허준박물관,서울 강서구,쉬움,1~5Km미만,2.51,"강서구의 명소들을 차례로 들르며 걷게 되는 코스 가장 먼저 양천향교를 지난다. 양천향교는 서울에서는 유일한 것으로, 조선조 태종 12년(1411)에 창건돼 노후된 것을 지난 81년에 전면 복원했다. 향교는 조선시대 우리의 교육 문화를 주도해 온 문화유산으로 유가(儒家)의 공자(孔子)를 비롯한 선성성현 및 선유들의 제사를 모셨으며, 지방 향리들의 자제를 교육하는 오늘날의 국립 중고등과정과 같은 교육기관이었다. 향교를 지나 만나는 견제정선미술관은 우리산천을 표현하는데 가장 적합한 진경산수화풍을 완성한 겸제 정선(1676~1759)의 위대한 예술적 업적을 기리고 진경문화의 계승 발전을 위해 2009년에 개관한 곳이다. 이후 가족과 산책하기 좋은 구암공원을 지나면 허준선생 및 한의학 관련 자료를 보존, 수집, 전시하여 한의학박물관으로 위상을 제고하는 허준박물관에 이르러 코스는 마무리 된다.",90분,겸재정선기념관,"겸재정선기념관, 공암나루근린공원",시작점 부근 슈퍼,서울 강서구 가양동,37.5734649,126.8444262
KCCWSPO20N000000120,봉제산 숲나들길,봉제산 숲나들길,담소터~봉제산배드민턴장~등서초등학교운동장~등촌중학교후문길,서울 강서구,보통,1~5Km미만,2.61,"능선을 따라 걷기 좋은 숲길이 뻗은 봉제산은 산을 위에서 내려다보면 마치 봉황새가 알을 품고 있는 형국이라는 것에서 이름을 얻었다. 산 정상인 매봉은 백제시절에 봉화터였던 까닭에 아직도 봉화터, 봉수대라는 호칭을 사용한다. 해발 117m에 약 1만㎡인 봉제산은 산을 빙 둘러싸고 주택가가 형성되어 있어 찾는 이들도 많고, 진입도 어느 쪽에서나 가능하다. 주능선과 가지능선으로 걷기 편한 산책로가 뻗었으며, 각 능선의 중턱으로도 실핏줄 같은 숲길이 자글자글하다.",1시간30분,약수터가 있으나 간혹 식수 부적격 판정을 받음,체육공원,코스 내 없음,서울 강서구 화곡동,37.5450822,126.8547418
